text,label
The lights flickered and someone laughed upstairs.,creepy
I made pancakes this morning and they turned out great.,not creepy
"The mirror showed me smiling, but I wasn't.",creepy
My neighbor's dog barks every time the mail arrives.,not creepy
Something is breathing inside the walls.,creepy
The bus was ten minutes late again.,not creepy
I found a photo of myself sleeping. I live alone.,creepy
She painted the kitchen a soft yellow.,not creepy
The doll was facing the door when I left. Now it faces me.,creepy
We watched the sunset from the rooftop.,not creepy
"Your voice came from the basement, but you were next to me.",creepy
The coffee machine makes a weird noise lately.,not creepy
Every night the scratching gets a little closer.,creepy
He forgot his umbrella at the café.,not creepy
The old house smelled like dust and something sweet.,kinda creepy
My phone showed a message I never typed.,creepy
The cat knocked a glass off the table on purpose.,not creepy
Someone knocked three times. Nobody was there.,creepy
The library closes early on Sundays.,not creepy
I heard my name whispered from under the bed.,creepy
The grocery store rearranged all the aisles.,not creepy
The footprints in the snow led to my window and stopped.,creepy
My plant finally grew a new leaf.,not creepy
The hallway looked longer than it did yesterday.,creepy
We ordered pizza and watched a movie.,not creepy
There's a room in this house that isn't on the blueprints.,creepy
The printer jammed right before the deadline.,not creepy
The music box started playing on its own at 3 a.m.,creepy
The wind rattled the windows all night.,creepy
It knows your name now.,creepy
